"track.name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","name"
"wtf",0.714,0.567,6,-10.738,1,0.0325,0.0496,0.000115,0.0586,0.954,127.972,"audio_features","3OYSWIgKXiwjutuQ4NEk1b","spotify:track:3OYSWIgKXiwjutuQ4NEk1b","https://api.spotify.com/v1/tracks/3OYSWIgKXiwjutuQ4NEk1b","https://api.spotify.com/v1/audio-analysis/3OYSWIgKXiwjutuQ4NEk1b",72187,4,"linus"
"I Don't Know",0.673,0.739,1,-7.529,1,0.0266,0.0115,0.0162,0.371,0.961,111.968,"audio_features","56PgQIFxAvXcEtXNYrsB0w","spotify:track:56PgQIFxAvXcEtXNYrsB0w","https://api.spotify.com/v1/tracks/56PgQIFxAvXcEtXNYrsB0w","https://api.spotify.com/v1/audio-analysis/56PgQIFxAvXcEtXNYrsB0w",195045,4,"linus"
"circle the drain",0.482,0.79,9,-5.221,1,0.038,0.303,0.00028,0.1,0.47,169.064,"audio_features","2drtd6SptpMJ1KylMQ7mrE","spotify:track:2drtd6SptpMJ1KylMQ7mrE","https://api.spotify.com/v1/tracks/2drtd6SptpMJ1KylMQ7mrE","https://api.spotify.com/v1/audio-analysis/2drtd6SptpMJ1KylMQ7mrE",280213,4,"linus"
"Can You Tell",0.556,0.829,9,-5.9,1,0.0394,0.000986,6.91e-06,0.355,0.579,143.96,"audio_features","6DVAKtlNBXDRjtoMAwoyCI","spotify:track:6DVAKtlNBXDRjtoMAwoyCI","https://api.spotify.com/v1/tracks/6DVAKtlNBXDRjtoMAwoyCI","https://api.spotify.com/v1/audio-analysis/6DVAKtlNBXDRjtoMAwoyCI",162813,4,"linus"
"Boy",0.579,0.861,2,-5.542,1,0.0468,0.0364,0.00796,0.403,0.78,161.954,"audio_features","6y3wFB95BBd1BMZ1pYWmfa","spotify:track:6y3wFB95BBd1BMZ1pYWmfa","https://api.spotify.com/v1/tracks/6y3wFB95BBd1BMZ1pYWmfa","https://api.spotify.com/v1/audio-analysis/6y3wFB95BBd1BMZ1pYWmfa",190907,4,"linus"
"Like A Blade Of Grass",0.891,0.489,5,-8.14,0,0.135,0.037,2.12e-05,0.0899,0.794,93.515,"audio_features","22xea6Z2a8BbyVeCksSBX9","spotify:track:22xea6Z2a8BbyVeCksSBX9","https://api.spotify.com/v1/tracks/22xea6Z2a8BbyVeCksSBX9","https://api.spotify.com/v1/audio-analysis/22xea6Z2a8BbyVeCksSBX9",126218,4,"linus"
"I Got A Shot",0.973,0.433,3,-6.605,0,0.0892,0.0784,0,0.0753,0.933,120.055,"audio_features","5hNsSrWcClSp0tg4Jdd4UY","spotify:track:5hNsSrWcClSp0tg4Jdd4UY","https://api.spotify.com/v1/tracks/5hNsSrWcClSp0tg4Jdd4UY","https://api.spotify.com/v1/audio-analysis/5hNsSrWcClSp0tg4Jdd4UY",138782,4,"linus"
"Spoiled Brat",0.896,0.457,1,-7.432,1,0.195,0.158,0.000109,0.0994,0.504,129.966,"audio_features","4eoxoPILgW7rIKHpGmnYIc","spotify:track:4eoxoPILgW7rIKHpGmnYIc","https://api.spotify.com/v1/tracks/4eoxoPILgW7rIKHpGmnYIc","https://api.spotify.com/v1/audio-analysis/4eoxoPILgW7rIKHpGmnYIc",119959,3,"linus"
"Far Away (feat. A$AP Rocky)",0.687,0.584,6,-7.336,0,0.0422,0.222,0.00114,0.12,0.228,88.025,"audio_features","14qNHvX8h6HoynFuV0RxWS","spotify:track:14qNHvX8h6HoynFuV0RxWS","https://api.spotify.com/v1/tracks/14qNHvX8h6HoynFuV0RxWS","https://api.spotify.com/v1/audio-analysis/14qNHvX8h6HoynFuV0RxWS",199427,4,"linus"
"OK",0.72,0.625,7,-6.274,1,0.0362,0.0112,0.0076,0.0999,0.818,102.006,"audio_features","0APAKxMXB7jdDs4kw1l30y","spotify:track:0APAKxMXB7jdDs4kw1l30y","https://api.spotify.com/v1/tracks/0APAKxMXB7jdDs4kw1l30y","https://api.spotify.com/v1/audio-analysis/0APAKxMXB7jdDs4kw1l30y",193293,4,"linus"
"Pictures of Girls",0.443,0.819,6,-5.502,1,0.0322,0.000248,0.00759,0.0802,0.494,154.958,"audio_features","415dK4glwDO7fXxYg3np8B","spotify:track:415dK4glwDO7fXxYg3np8B","https://api.spotify.com/v1/tracks/415dK4glwDO7fXxYg3np8B","https://api.spotify.com/v1/audio-analysis/415dK4glwDO7fXxYg3np8B",204667,4,"linus"
"Bad Decisions",0.374,0.922,0,-3.4,1,0.056,0.0135,0.204,0.28,0.393,153.217,"audio_features","55N8cxpE1QDoeaaNqUnoZ2","spotify:track:55N8cxpE1QDoeaaNqUnoZ2","https://api.spotify.com/v1/tracks/55N8cxpE1QDoeaaNqUnoZ2","https://api.spotify.com/v1/audio-analysis/55N8cxpE1QDoeaaNqUnoZ2",293360,4,"linus"
"Salad Days",0.431,0.771,5,-7.176,1,0.0375,0.0877,0.0214,0.121,0.772,201.002,"audio_features","5VdaMUzoQetwxQwtWAd022","spotify:track:5VdaMUzoQetwxQwtWAd022","https://api.spotify.com/v1/tracks/5VdaMUzoQetwxQwtWAd022","https://api.spotify.com/v1/audio-analysis/5VdaMUzoQetwxQwtWAd022",145893,4,"linus"
"Lovers Rock",0.559,0.871,5,-5.338,0,0.0397,7.53e-06,0.00545,0.096,0.572,104.97,"audio_features","6dBUzqjtbnIa1TwYbyw5CM","spotify:track:6dBUzqjtbnIa1TwYbyw5CM","https://api.spotify.com/v1/tracks/6dBUzqjtbnIa1TwYbyw5CM","https://api.spotify.com/v1/audio-analysis/6dBUzqjtbnIa1TwYbyw5CM",213920,4,"linus"
"End of Beginning",0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,"audio_features","3qhlB30KknSejmIvZZLjOD","spotify:track:3qhlB30KknSejmIvZZLjOD","https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD","https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD",159246,4,"linus"
"4EVER",0.75,0.585,9,-7.576,0,0.0285,0.049,0.00552,0.155,0.584,102.331,"audio_features","5mIOsPuQdXchVY0jB5NO9Q","spotify:track:5mIOsPuQdXchVY0jB5NO9Q","https://api.spotify.com/v1/tracks/5mIOsPuQdXchVY0jB5NO9Q","https://api.spotify.com/v1/audio-analysis/5mIOsPuQdXchVY0jB5NO9Q",159595,4,"linus"
"So Young",0.671,0.445,4,-7.842,0,0.0291,0.348,5.93e-05,0.155,0.811,75.996,"audio_features","4SNtyKNyYJ8ERT7YLlnFBr","spotify:track:4SNtyKNyYJ8ERT7YLlnFBr","https://api.spotify.com/v1/tracks/4SNtyKNyYJ8ERT7YLlnFBr","https://api.spotify.com/v1/audio-analysis/4SNtyKNyYJ8ERT7YLlnFBr",246480,4,"linus"
"It's Called: Freefall",0.744,0.516,2,-6.365,1,0.0513,0.632,0,0.605,0.281,97.944,"audio_features","474uVhyGgK5MtY9gMcDgGl","spotify:track:474uVhyGgK5MtY9gMcDgGl","https://api.spotify.com/v1/tracks/474uVhyGgK5MtY9gMcDgGl","https://api.spotify.com/v1/audio-analysis/474uVhyGgK5MtY9gMcDgGl",152293,4,"linus"
"i was all over her",0.529,0.353,7,-12.835,1,0.0292,0.788,0.853,0.116,0.0601,104.557,"audio_features","7svpAkwc6xaSxlbZ7V7JiS","spotify:track:7svpAkwc6xaSxlbZ7V7JiS","https://api.spotify.com/v1/tracks/7svpAkwc6xaSxlbZ7V7JiS","https://api.spotify.com/v1/audio-analysis/7svpAkwc6xaSxlbZ7V7JiS",161463,4,"linus"
"Magazine",0.727,0.656,1,-7.078,1,0.322,0.076,0,0.0778,0.24,155.193,"audio_features","3buQGKqVsWEaYibrbViaCx","spotify:track:3buQGKqVsWEaYibrbViaCx","https://api.spotify.com/v1/tracks/3buQGKqVsWEaYibrbViaCx","https://api.spotify.com/v1/audio-analysis/3buQGKqVsWEaYibrbViaCx",179613,4,"linus"
"Ice Cream",0.943,0.625,11,-7.925,0,0.299,0.4,0,0.138,0.321,110.08,"audio_features","05YWwf91PR4BxqxAXZGjSa","spotify:track:05YWwf91PR4BxqxAXZGjSa","https://api.spotify.com/v1/tracks/05YWwf91PR4BxqxAXZGjSa","https://api.spotify.com/v1/audio-analysis/05YWwf91PR4BxqxAXZGjSa",157091,4,"linus"
"Home",0.573,0.636,6,-4.493,1,0.0301,0.0299,0.0998,0.116,0.156,77.005,"audio_features","68mOSKT4uBkKddEAhlMO61","spotify:track:68mOSKT4uBkKddEAhlMO61","https://api.spotify.com/v1/tracks/68mOSKT4uBkKddEAhlMO61","https://api.spotify.com/v1/audio-analysis/68mOSKT4uBkKddEAhlMO61",157486,4,"linus"
"Mother Nature",0.425,0.738,6,-5.493,1,0.0301,0.149,5.32e-05,0.0618,0.434,81.455,"audio_features","3kC6EmjBbLcnv1aAsAEGPP","spotify:track:3kC6EmjBbLcnv1aAsAEGPP","https://api.spotify.com/v1/tracks/3kC6EmjBbLcnv1aAsAEGPP","https://api.spotify.com/v1/audio-analysis/3kC6EmjBbLcnv1aAsAEGPP",236427,4,"linus"
"Anti-Hero",0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,"audio_features","0V3wPSX9ygBnCm8psDIegu","spotify:track:0V3wPSX9ygBnCm8psDIegu","https://api.spotify.com/v1/tracks/0V3wPSX9ygBnCm8psDIegu","https://api.spotify.com/v1/audio-analysis/0V3wPSX9ygBnCm8psDIegu",200690,4,"linus"
"Honey",0.637,0.517,6,-9.482,1,0.0282,0.351,6.86e-05,0.267,0.522,145.033,"audio_features","3d86YYHRKkUzc9gGbSq1MB","spotify:track:3d86YYHRKkUzc9gGbSq1MB","https://api.spotify.com/v1/tracks/3d86YYHRKkUzc9gGbSq1MB","https://api.spotify.com/v1/audio-analysis/3d86YYHRKkUzc9gGbSq1MB",268147,4,"linus"
"Oysters In My Pocket",0.598,0.924,6,-4.974,0,0.0623,0.0205,0.799,0.17,0.611,168.017,"audio_features","2B664ulJSVBd6B8SAY3Wux","spotify:track:2B664ulJSVBd6B8SAY3Wux","https://api.spotify.com/v1/tracks/2B664ulJSVBd6B8SAY3Wux","https://api.spotify.com/v1/audio-analysis/2B664ulJSVBd6B8SAY3Wux",162339,4,"linus"
