"track.name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","name"
"MY FAVOURITE GIRL - Extended Mix",0.799,0.507,1,-12.742,0,0.0532,0.0268,0.414,0.0578,0.757,130.008,"audio_features","0WUVew5jmay0JJQcOst1E2","spotify:track:0WUVew5jmay0JJQcOst1E2","https://api.spotify.com/v1/tracks/0WUVew5jmay0JJQcOst1E2","https://api.spotify.com/v1/audio-analysis/0WUVew5jmay0JJQcOst1E2",422284,4,"Maxwell"
"TEXAS HOLD 'EM",0.725,0.709,2,-6.514,1,0.072,0.588,0,0.135,0.353,110.024,"audio_features","0Z7nGFVCLfixWctgePsRk9","spotify:track:0Z7nGFVCLfixWctgePsRk9","https://api.spotify.com/v1/tracks/0Z7nGFVCLfixWctgePsRk9","https://api.spotify.com/v1/audio-analysis/0Z7nGFVCLfixWctgePsRk9",235636,4,"Maxwell"
"MY FAVOURITE GIRL",0.82,0.48,1,-13.644,0,0.066,0.176,0.0962,0.0694,0.789,130.022,"audio_features","5dxfVIlR5q9Z9YWWGm7Yz5","spotify:track:5dxfVIlR5q9Z9YWWGm7Yz5","https://api.spotify.com/v1/tracks/5dxfVIlR5q9Z9YWWGm7Yz5","https://api.spotify.com/v1/audio-analysis/5dxfVIlR5q9Z9YWWGm7Yz5",230041,4,"Maxwell"
"Kid Cudi - Remix",0.792,0.779,2,-8.757,1,0.329,0.0997,0.000409,0.147,0.406,159.963,"audio_features","7qHNSOvoAZc7SdeJClZJbq","spotify:track:7qHNSOvoAZc7SdeJClZJbq","https://api.spotify.com/v1/tracks/7qHNSOvoAZc7SdeJClZJbq","https://api.spotify.com/v1/audio-analysis/7qHNSOvoAZc7SdeJClZJbq",96052,4,"Maxwell"
"Somebody (2024)",0.859,0.635,0,-6.469,1,0.0401,0.0222,0.127,0.0627,0.566,130.038,"audio_features","0agQ9vIV7NP4dntGKLcCXO","spotify:track:0agQ9vIV7NP4dntGKLcCXO","https://api.spotify.com/v1/tracks/0agQ9vIV7NP4dntGKLcCXO","https://api.spotify.com/v1/audio-analysis/0agQ9vIV7NP4dntGKLcCXO",153519,4,"Maxwell"
"Bravado",0.603,0.529,7,-10.323,1,0.0482,0.572,0.0321,0.167,0.0394,87.967,"audio_features","1vbnYODenOFCFWxYNRYw1N","spotify:track:1vbnYODenOFCFWxYNRYw1N","https://api.spotify.com/v1/tracks/1vbnYODenOFCFWxYNRYw1N","https://api.spotify.com/v1/audio-analysis/1vbnYODenOFCFWxYNRYw1N",221409,4,"Maxwell"
"Biggest Regret (feat. Bbyafricka) - Drumsheds Version",0.754,0.66,11,-8.549,0,0.0448,0.0202,0.818,0.127,0.484,130.018,"audio_features","1V8BLftxZIgyL5UgbgfkWE","spotify:track:1V8BLftxZIgyL5UgbgfkWE","https://api.spotify.com/v1/tracks/1V8BLftxZIgyL5UgbgfkWE","https://api.spotify.com/v1/audio-analysis/1V8BLftxZIgyL5UgbgfkWE",209520,3,"Maxwell"
"Quartz",0.54,0.628,10,-12.79,0,0.0321,0.508,0.956,0.11,0.037,100.013,"audio_features","0X4ChG0plJjTV6NApEOgsT","spotify:track:0X4ChG0plJjTV6NApEOgsT","https://api.spotify.com/v1/tracks/0X4ChG0plJjTV6NApEOgsT","https://api.spotify.com/v1/audio-analysis/0X4ChG0plJjTV6NApEOgsT",314867,3,"Maxwell"
"Taubira",0.617,0.837,0,-8.257,0,0.0314,0.197,0.808,0.117,0.331,118.004,"audio_features","2dgnLqTFgj04CIBLoAvM4W","spotify:track:2dgnLqTFgj04CIBLoAvM4W","https://api.spotify.com/v1/tracks/2dgnLqTFgj04CIBLoAvM4W","https://api.spotify.com/v1/audio-analysis/2dgnLqTFgj04CIBLoAvM4W",201589,4,"Maxwell"
"Movement 2",0.39,0.348,0,-15.688,0,0.0389,0.745,0.882,0.125,0.0376,122.998,"audio_features","0giPtaOfD55ORHIOvhBanH","spotify:track:0giPtaOfD55ORHIOvhBanH","https://api.spotify.com/v1/tracks/0giPtaOfD55ORHIOvhBanH","https://api.spotify.com/v1/audio-analysis/0giPtaOfD55ORHIOvhBanH",264982,4,"Maxwell"
